Sr No.,Date of Encashment,Name of the Political Party,Account no. of Political Party,Denominations,Pay Branch Code,Pay Teller,pkey
1,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-775
2,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-3975
3,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-3967
4,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10418
5,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-126
6,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-116
7,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10466
8,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-122
9,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-158
10,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-108
11,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10446
12,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10434
13,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-162
14,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-128
15,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-113
16,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10423
17,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-110
18,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-131
19,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-164
20,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-118
21,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10449
22,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10417
23,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10426
24,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10420
25,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10443
26,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10452
27,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-160
28,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10408
29,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-120
30,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10464
31,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-124
32,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10440
33,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10469
34,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-6646
35,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-6644
36,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5470
37,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5455
38,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5467
39,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5460
40,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5463
41,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5451
42,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5458
43,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5454
44,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5474
45,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5459
46,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5475
47,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5464
48,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5453
49,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5472
50,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5471
51,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5468
52,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5450
53,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5462
54,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5457
55,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5466
56,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10876
57,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10877
58,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10885
59,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10856
60,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10870
